# This file is generated by MACS
# ARGUMENTS LIST:
# name = s96a
# format = ELAND
# ChIP-seq file = S96ChIPu_eland_result_unique.txt
# control file = S96inputu_eland_result_unique.txt
# effective genome size = 1.20e+07
# tag size = 24
# band width = 15
# model fold = 4
# pvalue cutoff = 1.00e-05
# Ranges for calculating regional lambda are : peak_region,250,500,2500
# unique tags in treatment: 2288896
# total tags in treatment: 2347114
# unique tags in control: 1111480
# total tags in control: 1111480
# d = 23
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
chr02.fs	393140	393612	473	223	464	1262.91	6.04	0.83
chr02.fs	393618	393813	196	150	90	58.18	2.80	2.30
chr02.fs	394201	394432	232	179	115	53.60	2.64	2.28
chr02.fs	394436	394642	207	114	100	67.78	2.88	2.43
chr02.fs	405787	405871	85	63	41	71.72	4.33	2.51
chr02.fs	408472	409242	771	322	787	1811.54	5.86	0.00
chr02.fs	424960	425408	449	234	341	946.61	7.29	0.61
chr02.fs	433811	434330	520	233	382	1029.61	6.51	0.65
chr02.fs	448302	448649	348	183	213	395.57	5.38	1.76
chr02.fs	466326	466838	513	348	314	400.05	4.36	1.77
chr02.fs	495577	495884	308	165	186	329.53	4.67	1.58
chr02.fs	504420	504673	254	135	138	153.18	3.47	2.00
chr02.fs	517170	517353	184	124	101	182.70	4.82	1.99
chr02.fs	546292	546570	279	152	162	187.39	2.97	2.03
chr02.fs	553208	553408	201	77	115	228.24	5.01	1.86
chr02.fs	555106	556363	1258	350	1424	3100.00	7.15	0.00
chr02.fs	556470	558222	1753	663	1167	1090.05	4.06	0.69
chr02.fs	563649	563953	305	205	169	149.93	3.10	1.97
chr02.fs	564095	564505	411	256	206	110.43	2.71	2.31
chr02.fs	564720	565351	632	204	472	919.91	4.99	0.58
chr02.fs	595712	595985	274	142	162	231.13	4.00	1.88
chr02.fs	642892	643020	129	104	67	90.36	3.50	2.18
chr02.fs	643055	643193	139	30	73	115.08	4.96	2.36
chr02.fs	663664	663785	122	36	59	65.23	3.12	2.47
chr02.fs	668546	669161	616	290	594	1181.26	5.56	0.76
chr02.fs	670041	670772	732	421	746	2247.77	7.88	0.00
chr02.fs	678516	678761	246	101	151	294.85	4.40	1.43
chr02.fs	680310	680832	523	175	273	191.00	3.02	1.88
chr02.fs	680991	681292	302	66	155	135.47	3.21	2.28
chr02.fs	681330	681474	145	67	76	71.13	3.52	2.50
chr02.fs	692567	692690	124	62	58	91.41	4.33	2.19
chr02.fs	696687	696933	247	169	151	263.27	4.50	1.57
chr02.fs	697650	698107	458	290	410	1108.73	7.16	0.71
chr02.fs	703932	704140	209	49	92	60.13	2.45	2.36
chr02.fs	718540	718720	181	129	91	138.74	4.14	2.18
chr02.fs	735717	736600	884	684	714	1103.28	5.14	0.70
chr02.fs	737831	738199	369	228	268	255.90	3.56	1.76
chr02.fs	748517	748835	319	147	171	190.68	3.76	1.87
chr02.fs	789887	790220	334	193	219	468.25	5.70	1.30
chr02.fs	798919	799159	241	98	127	133.27	3.17	2.26
chr02.fs	807290	807347	58	30	28	52.83	5.24	2.35
chr02.fs	807557	807637	81	43	40	72.92	4.10	2.55
chr03.fs	1125	1224	100	46	86	218.18	6.67	1.81
chr03.fs	1232	1840	609	27	506	1071.33	5.77	0.67
chr03.fs	1967	2874	908	561	523	277.51	2.83	1.61
chr03.fs	2943	3208	266	213	132	118.41	3.18	2.39
chr03.fs	3267	4638	1372	724	1167	2853.66	7.20	0.00
chr03.fs	27430	28914	1485	348	1335	2992.30	6.70	0.00
chr03.fs	28950	29228	279	55	128	115.47	3.89	2.37
chr03.fs	58567	58850	284	65	144	86.69	2.71	2.36
chr03.fs	61420	61590	171	73	90	77.12	3.26	2.47
chr03.fs	70945	73681	2737	692	2514	3100.00	5.13	0.00
chr03.fs	78295	78649	355	259	240	325.18	4.06	1.54
chr03.fs	90748	90881	134	103	102	260.12	5.86	1.56
chr03.fs	90957	92539	1583	732	1482	3129.38	4.98	0.00
chr03.fs	107276	108570	1295	876	1186	1609.94	5.04	0.00
chr03.fs	123248	123599	352	312	275	315.92	4.30	1.50
chr03.fs	123618	124135	518	209	676	1519.23	4.49	0.00
chr03.fs	125033	125459	427	137	257	417.18	4.50	1.82
chr03.fs	127626	127738	113	72	61	112.83	4.27	2.34
chr03.fs	127776	127846	71	22	33	52.58	4.10	2.34
chr03.fs	131094	132111	1018	661	903	2380.48	8.11	0.00
chr03.fs	137259	137524	266	116	148	79.17	2.32	2.39
chr03.fs	137640	138983	1344	101	1016	744.36	3.26	0.93
chr03.fs	142642	142718	77	54	34	53.27	4.79	2.36
chr03.fs	142750	142873	124	60	75	66.43	3.58	2.40
chr03.fs	163452	163958	507	239	302	315.15	3.57	1.49
chr03.fs	168018	168318	301	252	257	722.19	6.29	0.89
chr03.fs	168342	168432	91	33	113	345.33	6.35	1.63
chr03.fs	168572	168621	50	26	35	97.44	6.84	2.15
chr03.fs	192182	192617	436	234	297	477.87	4.43	1.34
chr03.fs	198029	198222	194	66	94	51.59	2.49	2.40
chr03.fs	227821	228127	307	106	197	200.48	3.42	1.93
chr03.fs	228760	229062	303	238	199	293.12	3.85	1.42
chr03.fs	266277	268665	2389	885	2832	3100.00	4.84	0.00
chr03.fs	268819	268990	172	121	175	108.22	2.37	2.27
chr03.fs	269149	272446	3298	2542	3149	75.19	1.66	2.50
chr03.fs	295533	295752	220	32	120	75.68	2.78	2.52
chr03.fs	305633	305705	73	52	33	54.14	5.01	2.29
chr04.fs	22124	22853	730	453	601	1295.51	6.40	0.86
chr04.fs	34732	35117	386	203	290	807.87	8.21	0.50
chr04.fs	48699	49473	775	595	424	256.18	2.82	1.77
chr04.fs	49921	50322	402	63	235	385.16	4.04	1.72
chr04.fs	50334	50963	630	405	598	2116.24	8.89	0.00
chr04.fs	130490	130595	106	67	51	52.47	2.82	2.33
chr04.fs	135483	135809	327	172	226	502.46	5.57	1.37
chr04.fs	140510	140644	135	56	68	73.42	3.17	2.56
chr04.fs	165246	165464	219	95	117	192.83	4.86	1.89
chr04.fs	172028	172135	108	55	43	53.01	4.56	2.36
chr04.fs	217019	217319	301	59	145	172.68	3.31	1.93
chr04.fs	219150	219661	512	282	461	1463.48	7.97	0.00
chr04.fs	219701	219830	130	67	63	58.67	3.06	2.32
chr04.fs	221817	222171	355	61	215	213.75	3.00	1.80
chr04.fs	229963	230143	181	136	94	93.30	2.89	2.22
chr04.fs	234051	235851	1801	401	2033	3100.00	7.14	0.00
chr04.fs	241553	241873	321	224	220	361.85	4.43	1.67
chr04.fs	296421	296572	152	119	65	55.62	3.17	2.32
chr04.fs	301666	302226	561	279	506	945.04	5.42	0.60
chr04.fs	309892	310028	137	52	63	75.92	3.31	2.41
chr04.fs	362265	362514	250	183	153	241.54	5.64	1.95
chr04.fs	371954	372413	460	173	350	926.16	6.27	0.58
chr04.fs	410270	410399	130	94	77	107.40	3.60	2.25
chr04.fs	410428	410661	234	32	173	304.70	4.78	1.46
chr04.fs	411289	411783	495	181	355	548.54	4.28	1.09
chr04.fs	437833	437917	85	22	41	67.53	4.33	2.43
chr04.fs	465140	465614	475	257	341	438.33	3.99	1.58
chr04.fs	485095	485277	183	57	93	102.77	3.65	2.20
chr04.fs	488602	488814	213	173	125	125.96	4.03	2.35
chr04.fs	488847	489012	166	62	86	60.92	2.71	2.37
chr04.fs	512304	512609	306	167	188	237.69	4.29	1.93
chr04.fs	519647	519763	117	75	56	88.08	4.56	2.39
chr04.fs	520464	520543	80	54	35	53.65	5.01	2.28
chr04.fs	542140	542833	694	356	604	1469.84	6.79	0.00
chr04.fs	543653	544106	454	332	318	812.29	7.07	0.51
chr04.fs	544977	545256	280	211	145	137.94	3.24	2.17
chr04.fs	555872	556288	417	354	225	147.09	3.08	2.10
chr04.fs	579951	580209	259	52	108	66.19	2.88	2.49
chr04.fs	599891	600221	331	105	190	115.85	2.77	2.37
chr04.fs	614400	614785	386	308	215	123.46	2.44	2.46
chr04.fs	615798	617375	1578	824	1585	3100.00	8.76	0.00
chr04.fs	619857	619984	128	103	71	136.17	4.29	2.29
chr04.fs	620026	620129	104	30	63	75.92	4.23	2.41
chr04.fs	623658	623860	203	143	102	164.71	4.84	1.91
chr04.fs	624075	624647	573	315	544	1514.30	6.73	0.00
chr04.fs	630660	630803	144	116	62	73.73	3.50	2.46
chr04.fs	645015	645161	147	120	71	96.89	4.01	2.26
chr04.fs	651393	651445	53	25	42	138.56	7.98	2.17
chr04.fs	651476	651781	306	35	285	938.17	7.54	0.60
chr04.fs	651792	652030	239	58	117	151.78	4.35	1.99
chr04.fs	652264	652468	205	65	97	70.07	3.05	2.48
chr04.fs	667587	668026	440	377	419	1320.70	7.51	0.00
chr04.fs	668051	668116	66	30	65	247.93	9.35	1.97
chr04.fs	668413	668637	225	29	159	413.85	6.61	1.81
chr04.fs	668752	668873	122	30	61	106.64	4.33	2.24
chr04.fs	699634	701063	1430	455	1308	2170.07	5.41	0.00
chr04.fs	701594	701894	301	204	154	114.54	2.64	2.36
chr04.fs	721802	722116	315	184	209	182.80	3.22	2.00
chr04.fs	722351	722467	117	60	54	51.52	3.21	2.40
chr04.fs	722479	722764	286	79	159	197.41	4.40	1.91
chr04.fs	745945	746130	186	22	88	83.02	3.15	2.42
chr04.fs	746132	746439	308	67	193	377.95	5.08	1.71
chr04.fs	751106	751575	470	278	409	819.61	6.05	0.51
chr04.fs	768347	769014	668	270	359	60.03	2.43	2.35
chr04.fs	790030	790313	284	86	161	185.85	3.24	2.01
chr04.fs	884448	884585	138	44	70	115.65	4.03	2.37
chr04.fs	944278	944766	489	268	387	1080.88	6.57	0.68
chr04.fs	945548	946014	467	399	454	1622.59	8.29	0.00
chr04.fs	946264	946327	64	36	77	208.16	5.95	1.97
chr04.fs	946376	946755	380	32	350	826.52	6.27	0.52
chr04.fs	952110	952234	125	65	59	76.40	3.86	2.44
chr04.fs	959854	960409	556	355	491	1222.00	6.44	0.79
chr04.fs	960644	960835	192	87	92	123.82	3.69	2.47
chr04.fs	979416	979504	89	37	40	62.53	3.42	2.41
chr04.fs	980715	980996	282	213	217	547.12	6.42	1.09
chr04.fs	981025	981191	167	59	217	1019.17	9.35	0.65
chr04.fs	992673	992852	180	103	205	532.72	5.63	1.08
chr04.fs	992876	993047	172	22	122	141.65	4.33	2.21
chr04.fs	1014521	1014805	285	139	167	264.89	3.87	1.58
chr04.fs	1017075	1017221	147	125	84	173.97	4.56	1.93
chr04.fs	1019100	1019553	454	186	402	1326.42	7.52	0.00
chr04.fs	1022482	1023159	678	634	482	933.45	6.51	0.58
chr04.fs	1023260	1023378	119	30	88	195.87	7.15	1.90
chr04.fs	1023399	1023853	455	29	325	729.27	5.73	0.90
chr04.fs	1050447	1050739	293	149	165	146.38	3.26	2.09
chr04.fs	1067415	1067620	206	125	122	188.48	4.90	1.86
chr04.fs	1075314	1075491	178	105	101	110.56	3.10	2.31
chr04.fs	1075524	1075633	110	45	68	72.14	3.63	2.53
chr04.fs	1079318	1080926	1609	1175	1612	2975.76	5.54	0.00
chr04.fs	1084764	1085304	541	240	375	661.75	4.82	0.83
chr04.fs	1086923	1087532	610	270	594	1566.31	6.81	0.00
chr04.fs	1095286	1095569	284	81	146	127.44	2.79	2.36
chr04.fs	1149848	1150319	472	186	414	629.45	4.51	1.19
chr04.fs	1150723	1150861	139	92	79	124.45	4.50	2.48
chr04.fs	1150912	1151026	115	49	62	62.58	3.40	2.41
chr04.fs	1175500	1175849	350	288	443	1426.46	6.52	0.00
chr04.fs	1175872	1176071	200	26	142	290.12	4.71	1.42
chr04.fs	1201674	1201760	87	51	39	60.99	3.88	2.37
chr04.fs	1201795	1201933	139	39	80	163.21	5.01	1.90
chr04.fs	1222580	1222976	397	199	313	764.94	6.06	0.96
chr04.fs	1233693	1234056	364	191	286	805.38	6.82	0.50
chr04.fs	1236473	1236746	274	33	142	87.96	2.46	2.38
chr04.fs	1239570	1239703	134	88	64	59.70	3.54	2.34
chr04.fs	1256859	1257151	293	231	167	194.56	3.58	1.90
chr04.fs	1272293	1272498	206	139	108	158.35	3.65	2.04
chr04.fs	1278654	1278907	254	179	134	63.85	2.38	2.45
chr04.fs	1279840	1280109	270	166	159	136.48	3.28	2.30
chr04.fs	1305514	1305646	133	96	71	123.73	4.96	2.47
chr04.fs	1342131	1342394	264	89	140	236.93	5.49	1.92
chr04.fs	1352350	1352465	116	47	54	85.28	3.65	2.46
chr04.fs	1379773	1379896	124	46	64	116.96	4.33	2.38
chr04.fs	1384624	1385418	795	293	593	1075.17	5.72	0.68
chr04.fs	1385477	1385831	355	165	204	100.64	2.33	2.18
chr04.fs	1403072	1403221	150	42	64	56.69	3.28	2.35
chr04.fs	1409130	1409473	344	180	221	409.12	5.47	1.80
chr04.fs	1461652	1461724	73	49	34	58.21	4.33	2.30
chr04.fs	1468729	1469117	389	153	310	732.97	5.28	0.92
chr04.fs	1489383	1490458	1076	890	896	1824.16	5.72	0.00
chr04.fs	1496616	1496936	321	58	168	145.19	2.81	2.08
chr04.fs	1497296	1498055	760	538	749	2310.34	7.32	0.00
chr04.fs	1507298	1507619	322	85	183	78.60	2.52	2.49
chr04.fs	1510970	1511398	429	209	318	432.32	4.56	1.57
chr05.fs	23626	23764	139	71	73	94.37	3.70	2.22
chr05.fs	42207	42429	223	94	114	58.65	2.19	2.31
chr05.fs	61723	61916	194	145	110	121.83	3.63	2.44
chr05.fs	66286	66448	163	98	81	70.93	2.85	2.49
chr05.fs	68991	69440	450	213	301	253.20	3.70	1.76
chr05.fs	77456	78305	850	313	692	1446.71	5.48	0.00
chr05.fs	85064	85483	420	272	342	417.86	3.69	1.83
chr05.fs	85733	86118	386	119	210	60.43	2.07	2.37
chr05.fs	86374	86627	254	217	161	221.67	4.16	1.83
chr05.fs	117629	118226	598	382	391	110.17	2.30	2.30
chr05.fs	135293	135437	145	123	75	66.43	3.54	2.40
chr05.fs	138512	138693	182	143	101	171.01	5.28	1.92
chr05.fs	138724	139599	876	321	608	913.31	4.80	0.57
chr05.fs	140583	140832	250	56	134	58.73	2.51	2.32
chr05.fs	141115	141429	315	115	207	418.31	5.66	1.83
chr05.fs	148755	149167	413	268	236	367.32	4.50	1.68
chr05.fs	174575	175012	438	231	305	546.72	5.19	1.08
chr05.fs	177005	177123	119	70	65	65.79	3.14	2.49
chr05.fs	177155	177280	126	31	76	61.15	3.33	2.37
chr05.fs	185898	186180	283	120	157	293.71	5.24	1.42
chr05.fs	191954	194440	2487	739	1975	2520.04	5.53	0.00
chr05.fs	201071	201265	195	127	99	76.83	3.36	2.46
chr05.fs	207403	207500	98	26	47	56.23	3.57	2.33
chr05.fs	225416	225648	233	174	121	201.93	4.56	1.94
chr05.fs	239677	239983	307	157	256	705.71	8.12	0.87
chr05.fs	242343	242681	339	98	185	54.61	2.29	2.31
chr05.fs	249505	249954	450	289	347	672.50	5.62	0.85
chr05.fs	250175	250229	55	31	50	157.54	7.35	2.03
chr05.fs	250242	250305	64	31	75	286.52	8.30	1.41
chr05.fs	250334	250614	281	61	236	622.87	6.06	1.19
chr05.fs	288327	288466	140	110	82	114.02	4.17	2.35
chr05.fs	288504	288621	118	63	52	53.01	3.45	2.35
chr05.fs	291348	291810	463	228	380	706.98	5.90	0.87
chr05.fs	311447	312039	593	209	395	260.86	3.19	1.56
chr05.fs	312070	312237	168	35	99	63.19	3.04	2.43
chr05.fs	322367	322544	178	62	88	113.56	4.45	2.34
chr05.fs	322668	322778	111	50	52	57.95	4.32	2.28
chr05.fs	327244	327568	325	156	210	219.67	3.00	1.82
chr05.fs	330489	330812	324	139	181	303.29	5.13	1.45
chr05.fs	349437	349973	537	269	516	809.01	4.68	0.50
chr05.fs	354984	355157	174	42	119	83.18	2.87	2.42
chr05.fs	408086	408205	120	65	58	72.84	3.90	2.55
chr05.fs	424612	425017	406	281	289	522.93	4.93	1.05
chr05.fs	431124	431480	357	158	233	229.98	4.03	1.87
chr05.fs	434403	434553	151	117	112	318.16	6.61	1.50
chr05.fs	434584	434653	70	30	57	181.37	7.29	1.99
chr05.fs	434941	435458	518	54	386	937.00	7.57	0.59
chr05.fs	435481	435759	279	257	176	394.69	6.61	1.76
chr05.fs	435804	435915	112	38	69	156.07	6.15	2.02
chr05.fs	437933	438189	257	69	121	89.70	2.97	2.17
chr05.fs	438610	438718	109	71	65	65.79	3.60	2.49
chr05.fs	438758	439148	391	115	345	935.01	6.31	0.59
chr05.fs	439297	439677	381	168	280	498.20	4.86	1.37
chr05.fs	440522	440817	296	105	165	310.38	5.01	1.47
chr05.fs	441896	442592	697	313	645	350.96	2.88	1.65
chr05.fs	443132	443209	78	57	34	52.10	4.79	2.32
chr05.fs	443247	443370	124	42	69	135.31	5.93	2.28
chr05.fs	461371	461734	364	274	223	270.01	3.55	1.59
chr05.fs	461812	462011	200	136	102	76.48	2.95	2.44
chr05.fs	482804	484090	1287	134	808	1001.98	4.96	0.64
chr05.fs	487218	487329	112	47	50	72.36	3.59	2.54
chr05.fs	491011	491481	471	215	358	479.33	3.89	1.34
chr05.fs	492200	492374	175	142	96	134.96	3.50	2.27
chr05.fs	492391	492460	70	31	40	76.34	4.64	2.43
chr05.fs	498391	498443	53	27	42	138.56	7.98	2.17
chr05.fs	498479	498740	262	29	224	638.73	6.56	1.20
chr05.fs	498746	498974	229	87	124	225.67	4.10	1.85
chr05.fs	506195	506565	371	244	275	576.67	5.00	1.13
chr05.fs	548922	549158	237	122	141	162.67	3.68	1.90
chr05.fs	551140	551307	168	87	85	56.44	2.41	2.34
chr05.fs	551328	551514	187	39	113	147.51	4.77	2.10
chr05.fs	558990	559479	490	193	428	730.07	5.56	0.91
chr05.fs	565994	566824	831	741	789	1371.71	4.68	0.00
chr05.fs	566834	567261	428	78	418	1171.39	7.34	0.76
chr05.fs	567330	567553	224	71	120	156.08	4.41	2.02
chr06.fs	26550	26640	91	25	42	68.07	3.65	2.44
chr06.fs	53485	53660	176	51	88	51.91	2.89	2.32
chr06.fs	75540	75775	236	50	123	59.21	2.41	2.33
chr06.fs	81899	84395	2497	468	2484	3100.00	4.51	0.00
chr06.fs	86359	86993	635	276	574	1857.00	8.57	0.00
chr06.fs	101300	101393	94	55	49	52.59	3.46	2.34
chr06.fs	149011	149312	302	142	176	318.77	4.01	1.51
chr06.fs	157987	158075	89	36	39	58.63	4.10	2.31
chr06.fs	162281	162376	96	31	51	83.26	4.26	2.43
chr06.fs	167365	167438	74	53	36	65.33	4.10	2.48
chr06.fs	191576	191699	124	61	74	148.21	5.84	2.11
chr06.fs	195755	196207	453	163	310	421.66	4.66	1.86
chr06.fs	204966	205117	152	106	79	111.36	3.81	2.33
chr06.fs	226726	226937	212	102	108	59.08	2.52	2.33
chr07.fs	23277	23439	163	115	68	50.39	3.15	2.38
chr07.fs	24944	25231	288	201	152	119.17	2.99	2.40
chr07.fs	45353	45566	214	72	119	112.40	2.95	2.33
chr07.fs	67484	68401	918	500	895	2188.18	6.09	0.00
chr07.fs	73757	73846	90	67	50	66.74	3.80	2.41
chr07.fs	73884	74007	124	29	65	54.28	3.08	2.30
chr07.fs	78405	78682	278	163	145	199.99	3.84	1.92
chr07.fs	115365	115505	141	114	72	127.71	4.10	2.37
chr07.fs	122115	122236	122	61	59	61.94	3.58	2.40
chr07.fs	130982	131142	161	98	80	72.89	2.89	2.55
chr07.fs	139707	140365	659	446	632	1764.72	7.10	0.00
chr07.fs	140500	140963	464	346	251	321.20	3.89	1.52
chr07.fs	141151	142319	1169	705	1262	3100.00	7.73	0.00
chr07.fs	148089	148621	533	133	340	471.32	4.30	1.32
chr07.fs	193782	194070	289	176	146	231.46	4.33	1.89
chr07.fs	205424	205558	135	76	73	84.54	4.26	2.45
chr07.fs	212418	213199	782	321	724	2341.56	8.83	0.00
chr07.fs	228996	229117	122	65	55	56.22	3.20	2.33
chr07.fs	270819	271306	488	158	299	108.83	2.80	2.28
chr07.fs	277545	277670	126	63	61	61.47	3.17	2.38
chr07.fs	287637	288078	442	151	352	869.06	6.45	0.54
chr07.fs	311226	311942	717	386	433	282.84	2.74	1.39
chr07.fs	318826	319483	658	494	542	909.61	5.28	0.57
chr07.fs	319607	319682	76	48	80	329.13	9.57	1.57
chr07.fs	319739	319806	68	38	85	286.17	7.02	1.40
chr07.fs	319831	320173	343	39	326	663.33	5.56	0.84
chr07.fs	330625	331032	408	235	301	551.31	4.43	1.10
chr07.fs	345242	345425	184	122	88	88.02	3.14	2.38
chr07.fs	345934	346552	619	135	337	318.06	3.57	1.50
chr07.fs	371215	371379	165	87	84	61.72	3.21	2.39
chr07.fs	384678	384999	322	146	167	111.35	2.64	2.32
chr07.fs	393031	393291	261	116	133	218.80	4.33	1.82
chr07.fs	398064	398189	126	58	62	64.59	3.34	2.46
chr07.fs	401257	401422	166	133	94	190.40	5.47	1.87
chr07.fs	401426	401542	117	35	125	503.03	7.75	1.38
chr07.fs	401573	401729	157	38	131	407.79	9.80	1.78
chr07.fs	401868	401979	112	35	88	264.17	8.66	1.57
chr07.fs	402337	402477	141	39	118	240.63	4.86	1.94
chr07.fs	402587	402971	385	208	324	420.79	3.56	1.85
chr07.fs	402981	403051	71	29	39	78.78	5.01	2.50
chr07.fs	403308	403472	165	89	121	136.38	3.74	2.30
chr07.fs	403491	403717	227	61	173	136.10	3.23	2.29
chr07.fs	405035	405083	49	28	28	66.98	5.47	2.41
chr07.fs	405170	405258	89	45	80	277.39	7.07	1.61
chr07.fs	405383	405478	96	55	133	237.19	3.88	1.92
chr07.fs	405525	405833	309	31	239	464.34	5.96	1.29
chr07.fs	405851	406001	151	54	61	54.98	3.02	2.31
chr07.fs	412204	412316	113	48	59	63.45	3.02	2.44
chr07.fs	412352	412497	146	22	72	63.21	4.28	2.43
chr07.fs	420878	421095	218	54	108	119.42	3.77	2.40
chr07.fs	422979	423089	111	82	65	142.67	6.15	2.22
chr07.fs	436315	436415	101	56	46	58.04	4.06	2.29
chr07.fs	436428	437380	953	682	762	1583.64	6.07	0.00
chr07.fs	440653	440746	94	63	46	58.18	4.16	2.29
chr07.fs	440789	440926	138	58	79	115.41	4.09	2.36
chr07.fs	441224	443021	1798	176	1267	374.38	2.37	1.70
chr07.fs	443123	443850	728	256	681	1215.98	5.37	0.79
chr07.fs	452143	452829	687	297	613	794.15	4.22	0.50
chr07.fs	479979	480355	377	166	230	138.66	2.58	2.18
chr07.fs	480795	482690	1896	1123	1294	491.35	2.59	1.35
chr07.fs	483275	483834	560	247	446	713.08	3.96	0.88
chr07.fs	516138	516676	539	262	438	832.61	4.96	0.53
chr07.fs	531544	531635	92	65	45	79.27	4.56	2.40
chr07.fs	541780	541873	94	72	46	66.41	3.65	2.40
chr07.fs	544491	544598	108	88	57	77.07	3.42	2.46
chr07.fs	544635	544747	113	56	57	97.58	4.56	2.15
chr07.fs	557744	557947	204	146	104	113.76	3.09	2.34
chr07.fs	561571	561678	108	63	55	73.39	3.80	2.56
chr07.fs	609779	610173	395	229	265	311.01	3.96	1.47
chr07.fs	648938	649066	129	66	64	105.00	4.88	2.23
chr07.fs	667180	667592	413	221	291	565.62	5.19	1.12
chr07.fs	682387	682874	488	219	425	1111.23	6.79	0.71
chr07.fs	700512	700973	462	150	337	222.98	2.80	1.84
chr07.fs	701018	701145	128	46	57	52.74	4.03	2.34
chr07.fs	701483	701919	437	200	363	612.37	4.76	1.18
chr07.fs	706778	707130	353	244	297	709.80	6.73	0.88
chr07.fs	707157	707216	60	31	67	230.78	7.78	1.88
chr07.fs	707733	707790	58	30	40	108.26	6.84	2.27
